,trek_name,region,no_of_days,difficulty,distance,altitude,price,SD,description,Activity Name,Typical Season,Grade Classification
0,Bali Pass Trek,Uttrakhand,9,5,56 KM,4950 mts.,18400,Sankri to Janki Chatti,"
Brief Description  

                        Connecting Yamunotri and Har Ki Dun Valley Bali Pass trek at an altitude of 16240 ft. is a difficult trek meant for seasoned trekkers only. Bali Pass trek starts from Sankri village in Uttarakhand and ends at Janki Chatti. This trek offers splendid panoramic views of Bandarpoonch, Kalanag, and Swargarohini peaks. The alpine meadows of Dev Thach in the middle of the Ruinsara forest is something to look out for. The Ruinsara lake has unmatched beauty and grandeur with a mythological story associated with it. The Bali Pass trek should be in the list of trekkers who wish to experience the nature at its best and push their limits. The best months to do Bali Pass trek are from May to June and from September to October. With challenging terrains, steep ascents and descents, exhilarating pass crossing, and narrow trails, one has to have a very good physical and mental endurance to undertake this trek successfully. Considered as one of the most unexplored trails in the Indian Himalayas, the Bali Pass Trek is for adventurists who wish to pursue offbeat treks. Stay on this page for everything you need to know about the Bali Pass trek including Bali pass route map, itinerary, temperature chart, photos, videos, and reviews. Scroll to the end to read Bali Pass trek blogs.
                    
",,,
1,Friendship Peak Expedition,Himachal Pradesh,8,6,34 KM,5289 mts.,32400,Manali to Manali,"
Brief Description 

A springboard for hardcore mountaineering, Friendship Peak runs in some influential circles. Nestled comfortably in between all the biggies from the two major ranges - Pir Panjal and the Dhauladhar, Friendship Peak is an amphitheater for the tallest mountains in both these ranges. With a bird’s eye view of Manali from the col, to the mountain ranges in Lahaul from its peak; Friendship peak faces Hanuman Tibba on the one side and finds as its neighbours, giants such as Indrasan, Deo Tibba, Priyadarshani, the Seven Sisters to name a few. 
The Friendship Peak trek is more than just a pretty view from the top. Standing tall at 5289 M, it falls in the largest range of the Lesser Himalayas - the Pir Panjal. Apart from humbly standing its ground in the midst of the 6000ers, we especially are in awe of the trail of the trek which takes us through the most mesmerizing visuals. We encounter alpine meadows, thick forests and wide clearings, crossings over icy cold mountain streams - and of course a thick bed of shimmering white snow - all packed in 34 kms. It has stunning campsites full of local wildlife and bursts of colors, waiting to be wandered and explored.  Even the landscape buried under a thick sheet of snow is anything but wearisome to look at. 
Read: Highlights of Friendship Peak
Walking through glacial moraines, navigating our way around massive snow rocks, the unpredictable weather and the brutal slopes keep the journey exhilarating throughout. Friendship peak is not short of an expedition for its difficult terrain, harsh temperature and a continuously steep ascent from the time you set your first foot out the Summit Camp tent.  Each season on the peak is met with different kinds of challenges and hence, different visuals and a completely different experience. 
Although identified as a trekking peak by IMF, do not let the altitude of Friendship Peak deceive you. It is no less hard to please than the 6000ers in it vicinity and hence should only be attempted by experienced trekkers with a know-how of basic mountain skills and prior experience in high altitudes. From carrying your own load to a need for technical knowledge, the peak requires the acumen and grit of a mountaineer, its considerably lesser height helping you shift gears from trekking to mountaineering with ease.
The grueling climb requires learning new skills; using an ice-axe, pitching a tent in snow, roping up, working together as a team and even seemingly simple tasks like ‘walking’ - on snow, on a steep gradient, in shin-high, extremely heavy snow boots. With the constantly changing weather, we never know when we will be hit by our next snow storm, white-out or torrentuous rains - which makes the trek even more thrilling while also, adding to its level of difficulty.
Read: Who is this trek meant for?
The best months for this trek are May and June for a snow-covered peak and September and October for a predominantly rocky terrain.  

",Friendship Peak Expedition,"May,Jun,Sep",Difficult
2,Beas Kund Trek,Himachal Pradesh,3,2,32 KM,3700 mts.,5900,Manali to Manali ,"
Description 

                        Beas Kund is a high altitude alpine lake that sits royally amidst the mountains of Himachal Pradesh at an altitude of 3,700 meters. This taintless beauty is the origin of Beas River, which is believed to be the water body where Sage Vyas use to take bath while he meditated. Beas Kund Trek starts from Solang Nallah which is a popular destination in Manali for skiing and paragliding. Mesmerizing meadows of Dhundi and Bakarthach will be a part of your trail on Beas Kund Trek. Majestic peaks like Hanuman Tibba, Friendship Peak, Shitidhar, and Seven Sisters will be your companion on this trek. One will also come across the Beas Kund Glacier while advancing towards Beas Kund. Pluck the wild strawberries and mushrooms on your way and lazily watch the herds of sheep and goats grazing. This summer trek is a perfect choice for the beginners because of its short duration and easy difficulty level. On this page you will find everything you need - Beas Kund trek itinerary, route map, temperature and weather report, photos and videos. Scroll to the end to read Beas Kund Trek Blogs.
                    
",Beas Kund Trek,"May,Jun,Aug,Sep",Easy
3,Panwali Kantha Trek,Uttarakhand,5,3,30 KM,3500 mts.,8500,Ghuttu to Ghuttu,"
Brief Description 

                        Panwali Kantha is one of the most beautiful treks, which is positioned at a height of 3,500 metres ( 11,500 ft.). This trek offers you with one of the rarest views of the complete range of Yamunotri, Gangotri, Kedarnath and Badrinath mountain peaks. On your way, you pass through the seven Bugyals of Panwali Kantha and if you are fortunate, you might catch a glimpse of the blue mountain goat. Panwali Kantha is a trek that offers unique visual treats in every season. From lush green meadows in summers to snow covered bugyals with inviting gentle slopes in winters. Given its moderate level of challenge, anyone with a normal fitness can do this trek. A great refresher from the monotonous routine and an ideal way to enter the vast world of trekking.
                    
",Panwali Kantha Trek,"Mar,Apr",Easy
4,Bhrigu Lake Trek,Himachal Pradesh,3,2,29 KM,4267 mts.,5990,Manali to Manali,"
Brief Description 

                        Bhrigu Lake is a high altitude alpine lake, which is just three days hike from Manali. The highlighting feature of  Bhrigu Lake Trek is that you get to climb an ambitious height of 14,000 ft in just three days, which is usually achieved on the fourth or fifth day of the Himalayan treks and that too after rigorous climbing. The steep trail goes through virgin forests and lush green meadows which open into the beautiful campsite of Rola Khuli. On your way, lay your eyes on Hanuman Tibba and Seven Sisters peaks. On the second day, you trek uphill to the oval-shaped lake which is believed to change colors with seasons. One would trade the world to experience the serene environment around the lake. To top it all, because of the soaring height, the clouds will be floating around you. Adore the traditional villages and apple orchards in the last leg of the descent. Stay on this page for all necessary information like Bhrigu lake itinerary, route map, temperature and weather details, reviews, photos, and videos. Scroll to the end to read Bhrigu lake trek blogs.
                    
",Bhrigu Lake Trek,"May,Jun,Aug,Sept",Easy
5,Kuari Pass Trek,Uttrakhand,5,3,30 KM,3876 mts.,8350,Joshimath to joshimath,"
Brief Description 

                        The Kuari pass means the Doorway. This trek was explored by Lord Curzon and is also knows as the Curzon trail. The pass lies at an altitude of 3876 m. The trek passes through Pristine Rhododendron, oak, and deodar forest covered in layers of snow. The Kuari Pass trek is a highly varied & scenic trek. When on this trail you find yourself walking under a perfect marquee of trees. It is a series of forests and meadows. The peaks of Kamet, Dronagiri, Trishul, Bertholi, Hathi Ghodi Parvat, Mana and Neelkanth all stand majestically. The Kuari pass trek is a great choice for beginners as well as well trained trekkers. Since the trail of the trek is not very tough the beginners have a chance to learn all about trekking and experience the Himalayas. For more seasoned trekkers, Kuari pass trek is the best way to rejuvenate. Kuari Pass trek best time is from December to March as the entire trail is covered in snow. Stay on this page for more information - Like Kuari Pass pass trek route map, itinerary, temperature chart, reviews, photos, and videos. Scroll to the end for Kuari Pass trek blogs.  
                    
",Kuari Pass Trek,"Dec,Jan,Feb,Mar",Easy
6,Dayara Bugyal Trek,Uttrakhand,5,2,21 KM,3750 mts.,8000,Raithal to Raithal,"
Brief Description 

                        Dayara Bugyal is perhaps one of the most beautiful alpine meadows in India. The meadow stretches out far and wide. The panoramic view of the Himalayas from Dayara Bugyal is breathtaking. The bugyal gets entirely covered in snow as it appears as tiny shining diamonds scattered all over the ground. As far as the eye can look, there is a sheet of white cover. Situated at an elevation of about 3750 m, Dayara Bugyal is second to none in natural beauty and perfect for the beginners. Dayara Bugyal trek goes through open stretches and dense forest at different places. The best time to do Dayara Bugyal trek is between December to March when the trails sparkle with pristine snow. The temperatures drop up to -5 degree Celsius during the nights. Each and every campsite on the trail of this trek is extremely beautiful and scenic. One can sure of getting awestruck with each and every step taken on this trail. Since this trek is an easy one, it is a great option for beginners. Experienced trekkers can also enjoy Dayara Bugyal as the trail is refreshing and not very crowded. Stay on this page for more details - Dayara Bugyal itinerary, temperature chart, photos, videos, and reviews.
                    
",Dayara Bugyal Trek,"Jan,Feb,Mar,Nov,Dec",Easy
7,Dodital Darwa Pass Trek,Uttarakhand,5,4,40 KM,4150 mts.,11600,Agoda to Agoda,"
Brief Description 

                        Dodital, a fresh water lake at an elevation of 3085 meters is an offeat trekking destination in Uttarakhand Himalayas. Located in the border district of Uttarkashi, the 30 Km trek through densely forested areas and deep valleys conclude at Darwa Top at an elevation of 4200 meters. 

The trek to Dodital is one such trek that offers unique views & colors during different parts of the year. After camping at Dodital, trekkers attempt to reach the highest point (Darwa top) in a day's hike. The trek goes along the Assi Ganga river which originates from Dodital Lake revered as the birth place of Lord Ganesha.
                    
",Dodital Trek,"May,Jun,Sep,Oct,Nov,Dec",Easy
8,Har ki Dun Trek,Uttarakhand,7,4,67 KM,3500 mts.,9400,Sankri to Sankri,"
Brief Description 

Har Ki Dun or the Valley of Gods is located in the Garhwal Himalayas of the Uttarkashi district of Uttarakhand. At 3,500 M, Har Ki Dun is one of the most gorgeous river valley treks in the country. Diverse flora and fauna, larger than life landscapes, quaint villages tucked into the mountains and vast, expansive meadows leave you in awe throughout. The trek progresses alongside the splendid Supin River, crossing bridges across clear water streams running through scenic Garhwalian villages.
Read: Highlights of the Har Ki Dun Trek
The Har Ki Dun trail is famous for its changing scenery in each season. During summer and spring, pleasant temperatures grace the valley. Flowers are in full bloom and there is a delightful range of wildlife to spot. With the onset of winters, the valley experiences snowfall every couple of weeks transforming the lush green highlights into pristine whites.
The Har Ki Dun summit is a treat to behold. On a clear day, you can spot the snow-capped Swargarohini Peak, Hata Peak and Black Peak amongst others. This moderate level trek has various facets to take pleasure in, such as the alpine flowers, open meadows, dense coniferous forests and views of colossal mountain ranges making it a complete package.
Spanning over 67 km, the trek begins from the quaint village of Sankri in Uttarakhand. We will cover the journey till Taluka on a motorable road. The trek from Taluka till Pauni Garaat runs along the waters of the Supin River. You will be walking under a canopy of Walnut, Pine and Cedar trees opening up to vast fields of potato and maize on the way. The Pauni Garaat Campsite is a little farther ahead, situated in a lovely clearing on the banks of the Supin River.
The following day, the trek gradient is steeper as we head towards Kalkattiyadhaar located 8 km away. The trail runs through dense Oak forests and fertile Amaranth farms with the Supin River accompanying you throughout. Look out for sections that make up for some brilliant vantage points offering magnificent views of the Banderpoonch and Swargarohini ranges along the way. A four hour hike will bring you to the Kalkattiyadhaar campsite which is a vast open meadow cradled in a valley surrounded by pine and oak trees.
The next day, we will be ascending to the summit from the Kalkattiyadhaar campsite. Be prepared for an early start as we will need to cover 14 km. The trek gradient for the day is moderate with gradual ascents and descents. The trail climbs higher up through a thicket of forests before culminating in the grand Har Ki Dun summit. Spot the Swaragrohini peak, Hata Peak and Black Peak covered in snow from here.
Given its beauty and moderate difficulty level, this trek is ideal for beginners looking to step up their trekking game in the Himalayas.
Read: Har Ki Dun- Who is this Trek Meant for?
The best time to do Har Ki Dun Trek is from September till December. Stay on this page for more information like Har Ki Dun trek itinerary, route map, temperature chart, photos, videos, and reviews. Scroll to the end to read Har Ki Dun trek blogs.

",Har ki Dun Trek,"Feb,Mar,Apr,May,Jun,Sep,Oct,Nov",Moderate
9,Kedarkantha Trek,Uttarakhand,5,2,23 KM,3810 mts.,8900,Sankri to Sankri,"
Brief Description 

Located close to Govind Pashu Vihar National Park in Uttarakhand, Kedarkantha is a thrilling summit trek perfect for beginners. Resting at an altitude of 3810 M, the summit offers glorious 360 degree views of some well-known Himalayan peaks like the Swargarohini, Bandarpoonch, Black peak, Ranglana in the Yamunotri and Gangotri ranges.
The climb to the summit is one of the reasons behind the popularity of this trek. Starting in the wee hours of the morning in frigid temperatures, with headlamps lighting the way under a breaking dawn, the trails of Kedarkantha combine all the nuances and challenges of a summit experience, but on a much smaller scale.
Stretching over 20 km over a span of 5 days, this trek is suitable for first time trekkers because of the limited distances to be covered each day. The trek begins from Sankri village which is a common starting point for various treks in Uttarakhand. The trail from Sankri runs through dense Maple and Oak trees across several wooden bridges and streams before reaching the first campsite, Juda-ka-Taal.
Next day, the trek gradient is steeper as we head towards the Kedarkantha Base Camp, 4 km away. The trail runs through dense Oak forests thatopen up to several clearings on the way.
Keep an eye out for the rich flora and fauna including Rhododendron trees, Chir Pine, Black Eagle, Golden Eagle and many more. The Kedarkantha Base Camp offers some lovely 180 degree viewsof lofty snow-capped ranges like Bandarpoonch, Swargarohini and Kalanag. The snow-clad Kedarkantha Peak also appears closer from here, shining brighter than the moon on most nights.
The trek to the summit the following day is a riveting one. The steep ascent, gushing winds and freezing temperatures during the winters makes this the most challenging section of the Kedarkantha trek. To understand the nature of terrain, the skills and gear one would require to complete the Kedarkantha trek, click here.
What warrants this trek as an adventure haven is the wholesome experience it offers to the trekkers. Majestic snow covered landscapes, tall Oak & Pine trees, and camping beside a lovely high-altitude lake are only some of the attractions of this trek. Read more about the highlights of the Kedarkantha Trek here.
The best time to do Kedarkantha Trek (for snow) is December to February. On this page, you will find all the essential information like - Kedarkantha Trek Temperature, Weather, Route Map, Photos, Videos, and Reviews. Scroll to the end to read Kedarkantha trek blogs.

",Kedarkantha Trek,"Dec,Jan,Feb,Mar,Apr",Easy
